..	1
...	22
....	1
00	8
007	2
01	12
011	1
013	1
017	1
02	6
022	1
03	3
035	1
04	7
046	1
047	1
048	1
05	6
051	1
052	1
054	1
06	9
060	1
07	6
070	1
075	1
08	3
0831	2
084	1
086	1
087	1
089	1
09	10
10	484
100	19
1000	8
101	1
102	3
103	1
104	2
105	2
106	2
107	1
108	2
10900	1
11	373
110	4
111	2
112	2
114	3
115	2
118	2
12	180
120	3
122	2
123	1
124	2
127	2
12hh	1
13	770
130	1
131	2
132	1
132Angelababy	1
133	1
135	1
136	2
137	1
138	1
14	740
1.4	1
140	1
1408	1
144	2
145	2
146	1
147	2
148	1
149	2
15	30
1.5	2
1500	1
151	2
151211	1
152	1
153	1
154	2
1545	1
155	3
157	3
159	1
16	11
160	2
1600	1
16085	1
161	1
162	1
163	3
164	1
165	1
167	2
168	2
169	1
17	10
1.7	1
170	3
172	2
173	2
174	1
17.6	1
18	15
1.8	1
180	2
182	1
185	1
186	3
18k	1
19	15
192	1
193	1
195	2
196	2
198	2
1997	1
1v3	1
20	25
2.0	2
200	2
2000	1
2013	3
20130727	6
20131008	1
20131010	1
20131011	1
20131109	5
20131120	1
20131122	2
20131123	4
20131124	2
20131126	1
20131128	1
20131130	6
20131202	1
20131207	6
20131214	4
20131221	3
20131228	7
2014	9
20140104	1
20140222	8
20140405	7
20140412	18
20140419	7
20140426	7
20140503	9
20140510	3
20140524	7
20140531	6
20140607	7
20140614	4
20140906	5
20140913	7
20140920	6
20140927	4
20141011	8
20141018	5
2015	5
2016	18
2017	11
202	1
203	2
206	2
207	1
21	7
2.1	1
211	1
213	1
214	1
215	2
216	1
217	1
218	1
219	2
22	13
2200	1
221	1
223	1
23	12
230	3
232	2
233	3
234	1
236	3
237	1
238	1
239	1
24	10
2.4	1
242	2
243	1
246	1
25	8
2.5	1
250	1
2500	1
253	1
255	1
26	8
2.6	1
261	1
262	1
264	1
269	1
27	4
270	1
272	1
273	2
275	1
28	7
282	10
29	7
290	1
291	1
294	1
295	1
2B	2
2d	1
2kimi	1
2L	1
2PM	1
30	17
3.0	1
300	6
3000	2
304	1
31	4
313	1
316	1
317	1
32	4
323	1
32f	1
32Z	1
33	5
330	1
331	1
333	1
336	1
34	2
349	1
35	4
3500	1
3.54	1
36	3
369	1
36D	1
37	4
3.7	1
371	1
378	1
38	6
387	1
39	3
393	1
3d	1
3D	10
3kg	1
3P	1
40	11
400	6
4000	1
406	1
41	2
417	1
42	8
4.2	1
426	1
43	4
432	1
433	1
44	12
444	1
445	1
448	1
45	9
4.5	2
450	2
4500	1
453	1
458	1
459	1
46	4
47	1
472	1
4745	1
475	1
478	1
479	2
48	3
480	1
481	1
482	1
485	1
488	1
49	5
497	1
4S店	1
50	8
500	6
5000	1
500000	1
50G	1
51	5
512	1
518	1
52	3
520	1
53	5
5300	1
54	3
5.4	1
542	1
55	4
551	1
557	1
56	2
57	4
572	1
575	1
576	1
58	2
582	1
59	2
592	1
5kg	1
60	12
600	3
6000	1
62	3
620g	1
625	1
63	5
635	1
636	1
638	1
64	4
646	1
65	3
650	1
66	4
665	1
67	4
679	1
68	8
680	1
69	5
70	5
700	3
708090	1
71	2
72	5
73	4
74	1
75	2
7.5	1
76	2
77	3
78	2
79	3
80	7
800	3
8000	1
81	2
818	1
82	6
83	2
84	2
85	4
86	3
87	7
88	3
89	2
90	18
900	1
91	4
92	1
93	2
94	4
95	1
96	3
97	4
98	2
99	2
A6	1
abby	1
AK47	1
all	1
als	3
Anaconda	1
and	1
Angelababy	2
APEC	1
app	1
